tKr,tKr1,yKr,yKr1
563.38,563.38,0.99314,99.331
564.38,564.38,0.99321,99.339
565.38,565.38,0.99328,99.346
566.38,566.38,0.99335,99.353
567.38,567.38,0.99342,99.36
568.38,568.38,0.9935,99.367
569.38,569.38,0.99357,99.374
570.38,570.38,0.99364,99.382
571.38,571.38,0.99371,99.389
572.38,572.38,0.99379,99.396
573.38,573.38,0.99386,99.404
574.38,574.38,0.99393,99.411
575.38,575.38,0.99401,99.418
576.38,576.38,0.99408,99.426
577.38,577.38,0.99415,99.433
578.39,578.39,0.99423,99.44
579.39,579.39,0.9943,99.448
580.39,580.39,0.99438,99.455
581.39,581.39,0.99445,99.463
582.39,582.39,0.99452,99.47
583.39,583.39,0.9946,99.477
584.39,584.39,0.99467,99.485
585.39,585.39,0.99475,99.492
586.39,586.39,0.99482,99.5
587.39,587.39,0.99489,99.507
588.39,588.39,0.99497,99.514
589.39,589.39,0.99504,99.522
590.39,590.39,0.99512,99.529
591.39,591.39,0.99519,99.536
592.39,592.39,0.99526,99.544
593.4,593.4,0.99534,99.551
594.4,594.4,0.99541,99.558
595.4,595.4,0.99548,99.566
596.4,596.4,0.99555,99.573
597.4,597.4,0.99562,99.58
598.4,598.4,0.9957,99.587
599.4,599.4,0.99577,99.594
600.4,600.4,0.99584,99.602
601.4,601.4,0.99591,99.609
602.4,602.4,0.99598,99.616
603.4,603.4,0.99605,99.623
604.4,604.4,0.99612,99.63
605.4,605.4,0.99619,99.637
606.4,606.4,0.99626,99.644
607.4,607.4,0.99633,99.651
608.41,608.41,0.9964,99.657
609.41,609.41,0.99647,99.664
610.41,610.41,0.99653,99.671
611.41,611.41,0.9966,99.678
612.41,612.41,0.99667,99.684
613.41,613.41,0.99673,99.691
614.41,614.41,0.9968,99.698
615.41,615.41,0.99687,99.704
616.41,616.41,0.99693,99.711
617.41,617.41,0.997,99.717
618.41,618.41,0.99706,99.724
619.41,619.41,0.99712,99.73
620.41,620.41,0.99719,99.736
621.41,621.41,0.99725,99.743
622.41,622.41,0.99731,99.749
623.42,623.42,0.99737,99.755
624.42,624.42,0.99743,99.761
625.42,625.42,0.99749,99.767
626.42,626.42,0.99755,99.773
627.42,627.42,0.99761,99.779
628.42,628.42,0.99767,99.785
629.42,629.42,0.99773,99.791
630.42,630.42,0.99779,99.797
631.42,631.42,0.99785,99.802
632.42,632.42,0.9979,99.808
633.42,633.42,0.99796,99.814
634.42,634.42,0.99802,99.819
635.42,635.42,0.99807,99.825
636.42,636.42,0.99812,99.83
637.42,637.42,0.99818,99.836
638.43,638.43,0.99823,99.841
639.43,639.43,0.99828,99.846
640.43,640.43,0.99834,99.851
641.43,641.43,0.99839,99.857
